TEAM,GP,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OR,DR,REB,AST,STL,BLK,TO,PF,Rebounding_Percent,Offensive Rebounding_percent,Turnovers_Per_Possession,Opponent_Turnovers_Per_Possession,Opponent_Fouls_Per_Possession,Extra_Scoring_Chances_Per_Game,Effective_Possession_Ratio,Opponent_Effective_Possession_Ratio,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina Gamecocks,31,71,26.2,61.7,42.4,6.8,21.5,31.6,11.8,17.6,67.1,13,25.3,38.3,14,7.8,5.1,15.2,19.4,50.50%,31.80%,20.90%,20.90%,24.40%,0.9,0.938,0.925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina State Bulldogs,31,71.8,25.7,65.5,39.3,6.4,21.2,30,14.1,20.4,68.9,15.2,26.6,41.8,12.2,6.6,3.6,15,19.8,51.20%,32.90%,19.50%,19.70%,23.80%,4.3,0.975,0.917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina Upstate Spartans,30,70.9,25.4,56.7,44.8,7.9,22,36.1,12.2,16.4,74.5,7.5,25,32.5,13.6,6.3,3.5,12.8,19.2,46.00%,19.80%,18.40%,17.30%,22.70%,-4.1,0.902,0.959,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota Coyotes,31,75.1,26.7,57.4,46.6,7.1,19.1,37.4,14.5,19.4,75,8.9,25.5,34.4,11.9,4.4,2.3,10,17.6,52.10%,24.80%,14.90%,15.30%,27.90%,1.6,0.961,0.939,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Dakota State,34,86.7,31.1,59.2,52.5,9.4,20.9,44.9,15.2,20,75.9,7.6,27.9,35.6,15.2,6.1,2.5,11,15.4,52.20%,21.90%,15.00%,15.60%,25.40%,-0.9,0.935,0.947,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Florida Bulls,31,57.5,21.6,57.7,37.4,4.5,17.6,25.3,9.8,14.7,66.6,11.4,24.5,35.9,10.9,6.2,3.7,12.5,17.1,50.00%,27.10%,18.50%,18.40%,22.70%,1.8,0.952,0.926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southeast Missouri State Redhawks,32,75.6,25.6,58.5,43.7,8.8,25.5,34.4,15.7,21.4,73.2,9.2,24.2,33.3,13.9,6.5,2.7,13.2,20.3,48.10%,24.50%,17.70%,17.90%,26.20%,-0.3,0.932,0.935,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Illinois Salukis,31,64,23,51.6,44.6,7.7,21.8,35.4,10.3,15,69,7.1,23.3,30.4,12,5.5,2.1,11.4,15.3,49.40%,20.50%,17.70%,18.40%,23.00%,0.4,0.914,0.908,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Jaguars,31,71.9,25.5,57.9,44,6.9,19.5,35.3,14,20.1,69.6,9.5,21.9,31.5,13.4,10.5,2.6,14.5,20.5,47.40%,25.20%,20.10%,24.80%,25.60%,2.4,0.909,0.877,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern Miss Golden Eagles,33,64.4,24.3,56.5,42.9,5.4,17.1,31.3,10.5,15.3,68.8,8.3,25.3,33.5,12.3,5,2.8,13.3,16,47.70%,22.30%,19.40%,15.60%,21.50%,-4.1,0.909,0.969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
