,Game,Win Percentage of Asterisk Team
507,cal-state-fullerton v vermont,0.09364509266573938
508,cal-state-fullerton v notre-dame,0.12518738871707943
509,cal-state-fullerton v michigan-state,0.14797441796745378
510,cal-state-fullerton v memphis,0.19887724425706177
511,cal-state-fullerton v north-carolina,0.17233862661027932
512,cal-state-fullerton v miami-fl,0.20524333104073045
513,cal-state-fullerton v michigan,0.172128362491267
514,cal-state-fullerton v iowa-state,0.269784307565776
515,cal-state-fullerton v colgate,0.17924853371099547
516,cal-state-fullerton v marquette,0.3159503903505222
517,cal-state-fullerton v richmond,0.28140249219430125
518,cal-state-fullerton v wright-state,0.22212513455569244
519,cal-state-fullerton v yale,0.5306769977562433
520,cal-state-fullerton v chattanooga,0.28214467297769424
521,cal-state-fullerton v delaware,0.4509550123368481
522,cal-state-fullerton v new-mexico-state,0.4452470350884259
523,cal-state-fullerton v saint-peters,0.6152946613744534
524,cal-state-fullerton v texas-southern,0.7093237786465425
525,cal-state-fullerton v longwood,0.4274471698205687
526,cal-state-fullerton v south-dakota-state,0.4149211172026096
527,cal-state-fullerton v georgia-state,0.7936469062360899
528,cal-state-fullerton v montana-state,0.5093107653055549
529,cal-state-fullerton v jacksonville-state,0.5299550031455724
530,cal-state-fullerton v norfolk-state,0.6776607174049633
531,chattanooga v gonzaga,0.05927988284594829
532,chattanooga v houston,0.041115490556932505
533,chattanooga v kentucky,0.06554597710274664
534,chattanooga v ucla,0.07489896519224715
535,chattanooga v duke,0.08132611112249767
536,chattanooga v villanova,0.061896164568360314
537,chattanooga v tennessee,0.10476430504636691
538,chattanooga v connecticut,0.07078479633709273
539,chattanooga v purdue,0.09373955147818105
540,chattanooga v iowa,0.1280482253801546
541,chattanooga v kansas,0.148900840607376
542,chattanooga v texas-tech,0.09048560816627386
543,chattanooga v loyola-il,0.10528594718845596
544,chattanooga v illinois,0.1464358831503384
545,chattanooga v virginia-tech,0.09890208411039411
546,chattanooga v saint-marys-ca,0.1095934252451315
547,chattanooga v wisconsin,0.1501397294308397
548,chattanooga v louisiana-state,0.22711150598790467
549,chattanooga v indiana,0.16018248049413558
550,chattanooga v providence,0.16921277235140486
551,chattanooga v ohio-state,0.18161760669183388
552,chattanooga v michigan-state,0.22645877210581078
553,chattanooga v seton-hall,0.238045644989296
554,chattanooga v san-francisco,0.2584451509212464
555,chattanooga v southern-california,0.1734574805061347
556,chattanooga v san-diego-state,0.21896244388377778
557,chattanooga v creighton,0.26322638417737043
558,chattanooga v colorado-state,0.2057249897298971
559,chattanooga v michigan,0.2426726439112008
560,chattanooga v north-carolina,0.28173330569221744
561,chattanooga v texas,0.13928124325694483
562,chattanooga v memphis,0.3136352248842672
563,chattanooga v notre-dame,0.27301525817172817
564,chattanooga v davidson,0.25819935224609314
565,chattanooga v texas-christian,0.25533249614673686
566,chattanooga v marquette,0.4022842196313831
567,chattanooga v miami-fl,0.3772130383366957
568,chattanooga v murray-state,0.2961438014127149
569,chattanooga v richmond,0.4619365399016394
570,chattanooga v iowa-state,0.3628492501473627
571,chattanooga v vermont,0.3396358518952943
572,chattanooga v yale,0.6274763038809101
573,chattanooga v colgate,0.4512068933891465
574,chattanooga v wright-state,0.45547907537721444
575,chattanooga v new-mexico-state,0.6381566367045498
576,chattanooga v delaware,0.6933470034214406
577,chattanooga v south-dakota-state,0.5805947803470113
578,chattanooga v saint-peters,0.7296991838124927
579,chattanooga v montana-state,0.6394374189799746
580,chattanooga v texas-southern,0.8665102751600349
581,chattanooga v georgia-state,0.8851282700458389
582,chattanooga v jacksonville-state,0.7280982053002947
583,chattanooga v longwood,0.7006658096551055
584,chattanooga v norfolk-state,0.8480352108537976
585,colgate v gonzaga,0.07144565790548986
586,colgate v kentucky,0.08516976246597122
587,colgate v duke,0.10371950627963286
588,colgate v ucla,0.10425877059308714
589,colgate v iowa,0.15062859393331823
590,colgate v kansas,0.15817899910152733
591,colgate v houston,0.09618237152211581
592,colgate v tennessee,0.1440103508207589
593,colgate v villanova,0.10438717324987057
594,colgate v connecticut,0.12889725573664862
595,colgate v purdue,0.14354296301913155
596,colgate v texas-tech,0.1750361194178007
597,colgate v wisconsin,0.2113194782243803
598,colgate v illinois,0.19352710837971188
599,colgate v loyola-il,0.17618596073552786
600,colgate v virginia-tech,0.15787953063770732
601,colgate v north-carolina,0.28678053633510714
602,colgate v memphis,0.33907756161926483
603,colgate v michigan-state,0.26702156607686106
604,colgate v saint-marys-ca,0.20918336579060076
605,colgate v san-francisco,0.3152842607934852
606,colgate v louisiana-state,0.3617739899867002
607,colgate v indiana,0.2846911810641275
608,colgate v providence,0.243068319127208
609,colgate v ohio-state,0.23454524203770669
610,colgate v seton-hall,0.34042168971574577
611,colgate v marquette,0.434952263183049
612,colgate v notre-dame,0.2957317410413619
613,colgate v michigan,0.28617895779602137
614,colgate v creighton,0.4314839493558464
615,colgate v miami-fl,0.37530007154998435
616,colgate v san-diego-state,0.4214632943318574
617,colgate v colorado-state,0.29123991656856735
618,colgate v southern-california,0.30695386373966493
619,colgate v richmond,0.5014020525356068
620,colgate v davidson,0.3454424212413829
621,colgate v texas-christian,0.37590240257847096
622,colgate v texas,0.2822217684398972
